,Unnamed: 0,"Sport catch of Fall Chinook in Oregon streams and rivers, 2007-2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(2018-2019 numbers are 'Preliminary'),,,,,,,,,,,,,,,,
Code,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19,,,,,,,,,,,,,,
,,Coastal River Systems,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,209.0,L FALL CR (WILLAMETTE),-,-,-,-,-,-,-,-,-,-,-,-
210,,,,,,,,,,,,,,,210.0,COAST FK WILL,-,-,-,-,-,-,-,-,-,-,-,-
211,,,,,,,,,,,,,,,211.0,COLUMBIA R--BUOY 10 TOTONGUE PT,"2,623","5,107","4,852","4,704","8,189","14,382","16,949","22,291","26,004","13,713","18,939","7,786"
212,,,,,,,,,,,,,,,212.0,COLUMBIA R--TONGUE PT TOLONGVIEW BRIDGE,614,913,"1,484","1,682","4,030","3,499","7,316","3,003","5,092","2,466","2,209","1,298"
213,,,,,,,,,,,,,,,213.0,COLUMBIA R--LONGVIEW BRIDGETO I-5 BRIDGE,"2,716","3,584","5,395","6,053","8,970","7,181","8,059","9,034","16,383","8,898","7,775","4,526"
214,,,,,,,,,,,,,,,214.0,COLUMBIA R--I-5 BRIDGE TOBONNEVILLE DAM,"2,418","3,052","3,593","5,254","6,554","5,107","7,031","9,277","13,257","5,757","6,323","2,605"
215,,,,,,,,,,,,,,,215.0,COLUMBIA R--BONNEVILLE DAMTO THE DALLES DAM,637,864,864,"1,592","1,199","1,752","3,672","2,570","5,335","2,220","2,177",501
216,,,,,,,,,,,,,,,216.0,COLUMBIA R--THE DALLES DAMTO JOHN DAY DAM,379,356,664,622,690,747,"3,903","1,959","2,262","2,109","2,341",276
217,,,,,,,,,,,,,,,217.0,COLUMBIA R--JOHN DAY DAM TOMCNARY DAM,212,172,319,495,492,655,"1,150","1,112","1,374",402,934,194
218,,,,,,,,,,,,,,,218.0,COLUMBIA R--MCNARY DAM TOSTATELINE,66,106,131,149,63,158,275,296,373,240,120,10
